id,parent_id,child_id
1,2,3
2,5,6
3,5,7
4,5,8
5,5,9
6,5,10
7,5,11
8,5,12
9,5,13
10,14,15
11,16,17
12,16,18
13,16,19
14,16,20
15,20,21
16,20,22
17,20,23
18,20,24
19,20,25
20,20,26
21,20,27
22,20,28
23,20,29
24,20,30
25,20,31
26,20,32
27,20,33
28,20,34
29,20,35
30,20,36
31,20,37
32,20,38
33,20,39
34,20,40
35,20,41
36,20,42
37,20,43
38,20,44
39,20,45
40,20,46
41,20,47
42,20,48
43,20,49
44,20,50
45,16,51
46,51,52
47,51,53
48,51,54
49,16,55
50,16,56
51,56,57
52,56,58
53,56,59
54,56,60
55,56,61
56,56,62
57,56,63
58,16,64
59,65,66
60,66,67
61,66,68
62,66,69
63,66,70
64,66,71
65,66,72
66,65,73
67,73,74
68,73,75
69,73,76
70,73,67
71,73,68
72,73,69
73,73,72
74,73,70
75,73,77
76,73,78
77,65,79
78,79,74
79,79,75
80,79,76
81,79,68
82,79,77
83,65,80
84,80,74
85,80,75
86,80,76
87,80,68
88,80,77
89,80,81
90,65,82
91,82,83
92,82,84
93,82,85
94,82,86
95,82,1
96,82,2
97,65,87
98,88,89
99,88,90
100,88,91
101,88,92
102,88,93
103,88,94
104,94,95
105,94,96
106,88,97
107,97,95
108,97,96
109,97,98
110,97,99
111,97,100
112,97,101
113,97,67
114,97,72
115,88,102
116,102,95
117,102,72
118,88,103
119,103,95
120,103,72
121,88,104
122,104,95
123,104,98
124,104,99
125,104,101
126,104,72
127,88,105
128,105,95
129,105,72
130,88,106
131,106,95
132,106,98
133,106,99
134,106,101
135,88,107
136,107,95
137,88,108
138,108,95
139,88,68
140,88,67
141,67,109
142,88,110
143,88,72
144,111,66
145,66,112
146,66,113
147,111,73
148,73,114
149,73,115
150,73,116
151,73,113
152,111,79
153,79,117
154,79,67
155,79,116
156,79,115
157,79,118
158,79,113
159,111,80
160,80,117
161,80,114
162,80,115
163,80,116
164,80,118
165,80,72
166,80,113
167,111,119
168,111,120
169,111,121
170,121,113
171,111,2
172,2,113
173,64,122
174,64,123
175,123,124
176,123,125
177,64,126
178,126,124
179,64,127
180,127,128
181,127,124
182,127,129
183,127,125
184,64,130
185,130,124
186,64,131
187,64,132
188,132,124
189,132,129
190,132,125
191,64,118
192,118,124
193,64,133
194,133,134
195,133,68
196,133,135
197,133,124
198,133,129
199,133,125
200,64,136
201,136,124
202,64,137
203,137,124
204,138,124
205,139,140
206,140,7
207,139,64
208,139,141
209,144,145
210,144,146
211,146,64
212,146,147
213,148,149
214,148,150
215,148,151
216,148,140
217,148,152
218,155,156
219,157,158
220,161,160
221,161,154
222,162,163
223,162,164
224,162,165
225,162,113
226,162,166
227,167,168
228,167,169
229,167,170
230,167,171
231,167,172
232,167,173
233,167,174
234,174,175
235,167,176
236,167,177
237,167,178
238,179,180
239,179,181
240,179,182
241,185,186
242,185,187
243,185,188
244,185,189
245,190,160
246,191,192
247,191,193
248,191,194
249,196,197
250,198,199
251,199,200
252,203,204
253,203,205
254,203,206
255,203,207
256,203,208
257,203,209
258,203,210
259,203,211
260,203,212
261,203,213
262,203,214
263,203,215
264,203,216
265,203,217
266,203,218
267,203,219
268,203,220
269,203,221
270,203,222
271,203,223
272,203,224
273,203,225
274,203,226
275,203,227
276,203,228
277,203,229
278,203,230
279,203,231
280,203,232
281,203,233
